Species	a	b	Rsquared	pvalue
E. coli	-0.004115	7.862	0.9982	7.646e-07
S. enterica	-0.004172	7.933	0.9989	2.734e-07
B. pertussis	-0.003664	8.036	0.9979	1.092e-06
S. aureus	-0.006778	7.454	0.9954	5.188e-06
K. pneumoniae	-0.003109	8.113	0.997	2.206e-06
P. aeruginosa	-0.002498	8.289	0.9996	3.725e-08
S. pyogenes	-0.009662	7.046	0.982	7.792e-05
L. monocytogenes	-0.00721	7.695	0.9932	1.12e-05
M. tuberculosis	-0.003925	8.157	0.9983	7.147e-07
C. jejuni	-0.009265	7.007	0.9971	2.012e-06
H. pylori	-0.008966	6.940	0.9933	1.087e-05
A. baumannii	-0.004817	7.690	0.9996	3.19e-08
E. faecium	-0.006509	7.337	0.9946	6.922e-06
B. subtilis	-0.005484	8.025	0.9997	2.023e-08
N. meningitidis	-0.007019	7.163	0.9917	1.657e-05
B. pseudomallei	-0.002354	8.446	0.9999	1.439e-09
C. pseudotuberculosis	-0.007513	7.460	0.9948	6.483e-06
