Species	xvalues	yvalues
E. coli	0	2596.14123727717
E. coli	50	2113.39419459112
E. coli	100	1720.41295658315
E. coli	150	1400.50575929201
E. coli	200	1140.08463741496
E. coli	250	928.088279427477
E. coli	300	755.512201588546
E. coli	350	615.026285108664
E. coli	400	500.663431482955
S. enterica	0	2788.56879073485
S. enterica	50	2263.57999099105
S. enterica	100	1837.42799985393
S. enterica	150	1491.50534466823
S. enterica	200	1210.70768125377
S. enterica	250	982.774278809528
S. enterica	300	797.752668166265
S. enterica	350	647.564077823957
S. enterica	400	525.650683001657
B. pertussis	0	3091.36692478205
B. pertussis	50	2573.81322136862
B. pertussis	100	2142.90786557436
B. pertussis	150	1784.1442736465
B. pertussis	200	1485.44454025438
B. pertussis	250	1236.75283146341
B. pertussis	300	1029.69685146968
B. pertussis	350	857.305986251098
B. pertussis	400	713.776635339754
S. aureus	0	1727.0553417807
S. aureus	50	1230.64356591526
S. aureus	100	876.9166509552
S. aureus	150	624.862335464757
S. aureus	200	445.256613450276
S. aureus	250	317.275407028258
S. aureus	300	226.080154374143
S. aureus	350	161.097378081006
S. aureus	400	114.79276142755
K. pneumoniae	0	3336.11491147808
K. pneumoniae	50	2855.81335717597
K. pneumoniae	100	2444.66097464588
K. pneumoniae	150	2092.70233502459
K. pneumoniae	200	1791.41529579648
K. pneumoniae	250	1533.50465008961
K. pneumoniae	300	1312.72548435001
K. pneumoniae	350	1123.7319672694
K. pneumoniae	400	961.947908620373
P. aeruginosa	0	3979.54103261016
P. aeruginosa	50	3512.20497182901
P. aeruginosa	100	3099.75036393822
P. aeruginosa	150	2735.73222400271
P. aeruginosa	200	2414.46243172244
P. aeruginosa	250	2130.92084928896
P. aeruginosa	300	1880.67687708649
P. aeruginosa	350	1659.82022147278
P. aeruginosa	400	1464.89979282244
S. pyogenes	0	1148.32021664464
S. pyogenes	50	708.368161225189
S. pyogenes	100	436.973454411314
S. pyogenes	150	269.557287173803
S. pyogenes	200	166.282711993085
S. pyogenes	250	102.575376824992
S. pyogenes	300	63.2760183224974
S. pyogenes	350	39.0332906266597
S. pyogenes	400	24.0785975087748
L. monocytogenes	0	2196.74746798584
L. monocytogenes	50	1531.88212697503
L. monocytogenes	100	1068.24424980317
L. monocytogenes	150	744.930538154997
L. monocytogenes	200	519.470623668831
L. monocytogenes	250	362.24817621685
L. monocytogenes	300	252.61051384513
L. monocytogenes	350	176.155674188686
L. monocytogenes	400	122.840578076234
M. tuberculosis	0	3488.06424950882
M. tuberculosis	50	2866.56954804322
M. tuberculosis	100	2355.81124256122
M. tuberculosis	150	1936.05859462446
M. tuberculosis	200	1591.0964401987
M. tuberculosis	250	1307.59879326072
M. tuberculosis	300	1074.61405917252
M. tuberculosis	350	883.14197146938
M. tuberculosis	400	725.78590900941
C. jejuni	0	1104.621891682
C. jejuni	50	695.050151804488
C. jejuni	100	437.33943457144
C. jejuni	150	275.182705211563
C. jejuni	200	173.150453084021
C. jejuni	250	108.94972262211
C. jejuni	300	68.5533410280755
C. jejuni	350	43.1351310770378
C. jejuni	400	27.1414858142541
H. pylori	0	1032.31036976006
H. pylori	50	659.362745774306
H. pylori	100	421.15166450966
H. pylori	150	269.000221283307
H. pylori	200	171.817245777045
H. pylori	250	109.744021047917
H. pylori	300	70.0962822520972
H. pylori	350	44.7722685814501
H. pylori	400	28.5971804712872
A. baumannii	0	2186.66721839898
A. baumannii	50	1718.59292571012
A. baumannii	100	1350.71382579348
A. baumannii	150	1061.58230485897
A. baumannii	200	834.341789111132
A. baumannii	250	655.74399447968
A. baumannii	300	515.376542213316
A. baumannii	350	405.055909775449
A. baumannii	400	318.350325646191
E. faecium	0	1535.87404583824
E. faecium	50	1109.2044812565
E. faecium	100	801.064764765934
E. faecium	150	578.527014804861
E. faecium	200	417.810795806029
E. faecium	250	301.741935337193
E. faecium	300	217.917288052327
E. faecium	350	157.379332703669
E. faecium	400	113.658969343931
B. subtilis	0	3057.15565049633
B. subtilis	50	2323.9661003127
B. subtilis	100	1766.61545987225
B. subtilis	150	1342.93274873489
B. subtilis	200	1020.86074111175
B. subtilis	250	776.030410848931
B. subtilis	300	589.917090852688
B. subtilis	350	448.438835920625
B. subtilis	400	340.8909365063
N. meningitidis	0	1291.21878423749
N. meningitidis	50	909.058733427997
N. meningitidis	100	640.006008981448
N. meningitidis	150	450.584408322838
N. meningitidis	200	317.225629407374
N. meningitidis	250	223.336844538134
N. meningitidis	300	157.236179880651
N. meningitidis	350	110.699227951343
N. meningitidis	400	77.9357465840551
B. pseudomallei	0	4655.14050580218
B. pseudomallei	50	4138.16635737291
B. pseudomallei	100	3678.60449753323
B. pseudomallei	150	3270.07903516535
B. pseudomallei	200	2906.92215034224
B. pseudomallei	250	2584.09545985884
B. pseudomallei	300	2297.12011547227
B. pseudomallei	350	2042.01466504476
B. pseudomallei	400	1815.23981448422
C. pseudotuberculosis	0	1737.32026787628
C. pseudotuberculosis	50	1193.28259519785
C. pseudotuberculosis	100	819.609014141489
C. pseudotuberculosis	150	562.950418254115
C. pseudotuberculosis	200	386.663845741666
C. pseudotuberculosis	250	265.580990360409
C. pseudotuberculosis	300	182.414940568143
C. pseudotuberculosis	350	125.292139687117
C. pseudotuberculosis	400	86.0572068191524
