Species	a	b	Rsquared	pvalue
E. coli	-0.886672	7.327	0.9949	6.159e-06
S. enterica	-0.965575	7.471	0.9979	1.087e-06
B. pertussis	-0.911948	7.552	0.9958	4.313e-06
S. aureus	-0.990264	6.700	0.9782	0.0001145
K. pneumoniae	-0.95979	7.735	0.9971	2.075e-06
P. aeruginosa	-0.913451	8.018	0.9967	2.68e-06
S. pyogenes	-0.931951	5.987	0.9861	4.649e-05
L. monocytogenes	-0.973476	6.956	0.9852	5.287e-05
M. tuberculosis	-0.985371	7.706	0.9981	8.534e-07
C. jejuni	-1.004015	6.027	0.9787	0.00011
H. pylori	-0.736195	5.735	0.9818	7.98e-05
A. baumannii	-0.885461	7.122	0.9984	6.435e-07
E. faecium	-1.044175	6.745	0.9462	0.0007043
B. subtilis	-0.992501	7.408	0.9968	2.433e-06
N. meningitidis	-0.813372	6.382	0.9943	7.776e-06
B. pseudomallei	-0.907477	8.128	0.9956	4.721e-06
C. pseudotuberculosis	-1.097034	6.779	0.9943	7.873e-06
