Species	xvalues	yvalues
E. coli	0	1520.297207897
E. coli	0.1	1391.30009270413
E. coli	0.2	1273.24837400455
E. coli	0.3	1165.21333564662
E. coli	0.4	1066.3450629813
E. coli	0.5	975.865756560003
E. coli	0.6	893.063613164708
E. coli	0.7	817.287226032266
E. coli	0.8	747.940460219293
E. coli	0.9	684.477762792002
E. coli	1	626.399870946118
E. coli	1.1	573.249884292513
E. coli	1.2	524.609670409153
E. coli	1.3	480.096575381716
E. coli	1.4	439.360413454609
E. coli	1.5	402.080712109901
E. coli	1.6	367.964190901116
E. coli	1.7	336.742454207812
E. coli	1.8	308.169879759777
E. coli	1.9	282.021686319801
E. coli	2	258.092165323437
E. coli	2.1	236.19306256401
E. coli	2.2	216.152097191539
E. coli	2.3	197.811606374504
E. coli	2.4	181.027304961968
E. coli	2.5	165.667150388287
E. coli	2.6	151.610303890571
E. coli	2.7	138.746179866788
E. coli	2.8	126.973575895749
E. coli	2.9	116.199876574856
E. coli	3	106.340324912152
E. coli	3.1	97.3173555407118
E. coli	3.2	89.0599845097431
E. coli	3.3	81.5032508518744
E. coli	3.4	74.5877055334188
E. coli	3.5	68.2589437671743
E. coli	3.6	62.4671770084507
E. coli	3.7	57.1668412672047
E. coli	3.8	52.3162386548647
E. coli	3.9	47.8772093458818
E. coli	4	43.8148313733225
E. coli	4.1	40.0971458967839
E. coli	4.2	36.6949057813081
E. coli	4.3	33.5813455093591
E. coli	4.4	30.731970615752
E. coli	4.5	28.1243649890154
E. coli	4.6	25.7380145232186
E. coli	4.7	23.5541457329311
E. coli	4.8	21.5555780616902
E. coli	4.9	19.7265887220865
E. coli	5	18.052789004158
S. enterica	0	1756.16126417159
S. enterica	0.1	1594.52010859192
S. enterica	0.2	1447.75677984409
S. enterica	0.3	1314.50188824238
S. enterica	0.4	1193.51208590359
S. enterica	0.5	1083.65846556721
S. enterica	0.6	983.916027215115
S. enterica	0.7	893.354114207979
S. enterica	0.8	811.127729701913
S. enterica	0.9	736.469652322225
S. enterica	1	668.683277528861
S. enterica	1.1	607.136117879173
S. enterica	1.2	551.253901541575
S. enterica	1.3	500.515213995694
S. enterica	1.4	454.446632922853
S. enterica	1.5	412.618310892535
S. enterica	1.6	374.639964628609
S. enterica	1.7	340.157233432814
S. enterica	1.8	308.848372787377
S. enterica	1.9	280.421252286116
S. enterica	2	254.610629882934
S. enterica	2.1	231.175677024798
S. enterica	2.2	209.897731577215
S. enterica	2.3	190.578257575665
S. enterica	2.4	173.036992766239
S. enterica	2.5	157.110266650935
S. enterica	2.6	142.649473343968
S. enterica	2.7	129.51968498992
S. enterica	2.8	117.598392806106
S. enterica	2.9	106.774364002317
S. enterica	3	96.9466039123231
S. enterica	3.1	88.0234136531958
S. enterica	3.2	79.9215345198568
S. enterica	3.3	72.5653711315337
S. enterica	3.4	65.8862860816184
S. enterica	3.5	59.8219595095884
S. enterica	3.6	54.3158076194135
S. enterica	3.7	49.3164547188776
S. enterica	3.8	44.7772538536243
S. enterica	3.9	40.6558515631585
S. enterica	4	36.9137926977134
S. enterica	4.1	33.5161616086907
S. enterica	4.2	30.431256364764
S. enterica	4.3	27.6302929538884
S. enterica	4.4	25.0871367112422
S. enterica	4.5	22.7780584671646
S. enterica	4.6	20.6815131398022
S. enterica	4.7	18.7779387066019
S. enterica	4.8	17.0495736789339
S. enterica	4.9	15.4802913767738
S. enterica	5	14.0554494571269
B. pertussis	0	1905.10600863889
B. pertussis	0.1	1739.0567659431
B. pertussis	0.2	1587.48039293268
B. pertussis	0.3	1449.11543274381
B. pertussis	0.4	1322.81037722734
B. pertussis	0.5	1207.51408380708
B. pertussis	0.6	1102.26702760577
B. pertussis	0.7	1006.19331603669
B. pertussis	0.8	918.493399404322
B. pertussis	0.9	838.437416849767
B. pertussis	1	765.359122264371
B. pertussis	1.1	698.650339621292
B. pertussis	1.2	637.755901580986
B. pertussis	1.3	582.169029248377
B. pertussis	1.4	531.427114630879
B. pertussis	1.5	485.107870697827
B. pertussis	1.6	442.825817001144
B. pertussis	1.7	404.229071609679
B. pertussis	1.8	368.996422658891
B. pertussis	1.9	336.834655144577
B. pertussis	2	307.476110713543
B. pertussis	2.1	280.676460143174
B. pertussis	2.2	256.212669971935
B. pertussis	2.3	233.881146358557
B. pertussis	2.4	213.496040722672
B. pertussis	2.5	194.887703065978
B. pertussis	2.6	177.901270102099
B. pertussis	2.7	162.3953764452
B. pertussis	2.8	148.240978131539
B. pertussis	2.9	135.320278683002
B. pertussis	3	123.525748775057
B. pertussis	3.1	112.759231350558
B. pertussis	3.2	102.931124731915
B. pertussis	3.3	93.9596369333059
B. pertussis	3.4	85.7701049671063
B. pertussis	3.5	78.2943734796486
B. pertussis	3.6	71.4702275451525
B. pertussis	3.7	65.2408748973975
B. pertussis	3.8	59.5544732901381
B. pertussis	3.9	54.3636990528348
B. pertussis	4	49.6253532511151
B. pertussis	4.1	45.3000021743284
B. pertussis	4.2	41.3516491582466
B. pertussis	4.3	37.7474350117306
B. pertussis	4.4	34.4573645542421
B. pertussis	4.5	31.4540569883747
B. pertussis	4.6	28.7125180299408
B. pertussis	4.7	26.2099318992261
B. pertussis	4.8	23.9254714423068
B. pertussis	4.9	21.8401248022145
B. pertussis	5	19.9365371974594
S. aureus	0	812.678067319299
S. aureus	0.1	736.057825252656
S. aureus	0.2	666.661429540962
S. aureus	0.3	603.807807470892
S. aureus	0.4	546.880098663941
S. aureus	0.5	495.31960106213
S. aureus	0.6	448.620287693283
S. aureus	0.7	406.323840402106
S. aureus	0.8	368.015151806939
S. aureus	0.9	333.318251337295
S. aureus	1	301.89261536937
S. aureus	1.1	273.429825246298
S. aureus	1.2	247.65054038419
S. aureus	1.3	224.301756757283
S. aureus	1.4	203.154323856324
S. aureus	1.5	184.000695751038
S. aureus	1.6	166.652894185063
S. aureus	1.7	150.940663712686
S. aureus	1.8	136.709800771455
S. aureus	1.9	123.820640291779
S. aureus	2	112.146684990761
S. aureus	2.1	101.573363897813
S. aureus	2.2	91.9969079279292
S. aureus	2.3	83.3233314672381
S. aureus	2.4	75.4675099758596
S. aureus	2.5	68.3523445554481
S. aureus	2.6	61.9080052822887
S. aureus	2.7	56.0712458798374
S. aureus	2.8	50.7847830047375
S. aureus	2.9	45.9967340544807
S. aureus	3	41.66010797922
S. aureus	3.1	37.7323441004439
S. aureus	3.2	34.1748944103664
S. aureus	3.3	30.9528452526211
S. aureus	3.4	28.0345746713438
S. aureus	3.5	25.3914420657855
S. aureus	3.6	22.9975071046526
S. aureus	3.7	20.8292751415332
S. aureus	3.8	18.865466632856
S. aureus	3.9	17.0868082953945
