Group	Count
ori	2682
ori	2634
ori	2722
ori	2686
ori	2591
ori	2485
ori	2326
ori	2512
ori	2455
ori	2499
50cut	2186
50cut	2121
50cut	2208
50cut	2196
50cut	2116
50cut	1964
50cut	1863
50cut	2038
50cut	1965
50cut	2026
50cut+99comp	788
50cut+99comp	805
50cut+99comp	850
50cut+99comp	851
50cut+99comp	839
50cut+99comp	749
50cut+99comp	704
50cut+99comp	773
50cut+99comp	742
50cut+99comp	730
50cut+99comp+2.0cont	586
50cut+99comp+2.0cont	585
50cut+99comp+2.0cont	623
50cut+99comp+2.0cont	643
50cut+99comp+2.0cont	586
50cut+99comp+2.0cont	563
50cut+99comp+2.0cont	536
50cut+99comp+2.0cont	591
50cut+99comp+2.0cont	539
50cut+99comp+2.0cont	509
