CG	core_shared	core_in_simulation	core_in_ori	core_shared/core_in_ori	core_in_simulation_not_shared
100	736	737	2542	0.289536	1
100	763	765	2522	0.302538	2
100	802	803	2620	0.306107	1
100	805	806	2559	0.314576	1
100	790	792	2484	0.318035	2
100	724	726	2391	0.302802	2
100	666	668	2234	0.29812	2
100	743	745	2482	0.299355	2
100	705	706	2338	0.30154	1
100	699	699	2395	0.291858	0
99	1817	1821	3030	0.59967	4
99	1764	1766	2920	0.60411	2
99	1851	1853	2983	0.620516	2
99	1782	1783	2962	0.601621	1
99	1770	1774	2838	0.623679	4
99	1709	1712	2867	0.596093	3
99	1639	1643	2822	0.580794	4
99	1688	1689	2936	0.574932	1
99	1677	1678	2759	0.607829	1
99	1718	1719	2878	0.596942	1
98	2580	2583	3118	0.827453	3
98	2535	2538	3040	0.833882	3
98	2618	2622	3092	0.846701	4
98	2514	2520	3054	0.823183	6
98	2497	2502	3019	0.827095	5
98	2464	2467	3013	0.81779	3
98	2424	2427	2993	0.80989	3
98	2500	2501	3057	0.817795	1
98	2367	2370	3003	0.788212	3
98	2438	2439	3037	0.802766	1
95	3177	3179	3210	0.98972	2
95	3145	3150	3206	0.980973	5
95	3154	3159	3215	0.981026	5
95	3131	3135	3191	0.981197	4
95	3087	3091	3155	0.978447	4
95	3082	3086	3163	0.974391	4
95	3089	3093	3156	0.978771	4
95	3130	3136	3183	0.983349	6
95	3110	3113	3176	0.979219	3
95	3119	3122	3188	0.978356	3
90	3298	3302	3329	0.990688	4
90	3277	3281	3294	0.994839	4
90	3281	3287	3305	0.992738	6
90	3253	3255	3284	0.99056	2
90	3254	3259	3306	0.984271	5
90	3280	3284	3307	0.991836	4
90	3257	3263	3295	0.988467	6
90	3286	3290	3299	0.996059	4
90	3267	3274	3290	0.993009	7
90	3298	3302	3331	0.990093	4
