CG	core_shared	core_in_simulation	core_in_ori	core_shared/core_in_ori	core_in_simulation_not_shared
100	785	788	2682	0.292692	3
100	801	805	2634	0.3041	4
100	845	850	2722	0.310434	5
100	850	851	2686	0.316456	1
100	835	839	2591	0.322269	4
100	747	749	2485	0.300604	2
100	698	704	2326	0.300086	6
100	756	773	2512	0.300955	17
100	737	742	2455	0.300204	5
100	730	730	2499	0.292117	0
99	1846	1852	3011	0.613085	6
99	1923	1926	3059	0.628637	3
99	1871	1872	3066	0.610241	1
99	1848	1854	2902	0.636802	6
99	1785	1787	2942	0.60673	2
99	1717	1723	2901	0.591865	6
99	1792	1801	3040	0.589474	9
99	1751	1756	2838	0.616984	5
99	1779	1784	2949	0.603255	5
99	1901	1905	3120	0.609295	4
98	2661	2665	3181	0.836529	4
98	2620	2625	3111	0.842173	5
98	2690	2694	3160	0.851266	4
98	2608	2611	3131	0.832961	3
98	2562	2569	3080	0.831818	7
98	2542	2544	3074	0.826936	2
98	2481	2487	3057	0.81158	6
98	2596	2607	3128	0.829923	11
98	2451	2456	3067	0.799152	5
98	2510	2513	3094	0.811248	3
95	3233	3236	3271	0.988383	3
95	3213	3221	3276	0.980769	8
95	3219	3224	3276	0.982601	5
95	3200	3203	3250	0.984615	3
95	3138	3146	3207	0.978485	8
95	3140	3147	3219	0.975458	7
95	3141	3148	3210	0.978505	7
95	3187	3199	3239	0.983946	12
95	3162	3168	3225	0.980465	6
95	3173	3178	3246	0.977511	5
90	3350	3353	3380	0.991124	3
90	3335	3343	3352	0.994928	8
90	3333	3338	3353	0.994035	5
90	3305	3308	3337	0.990411	3
90	3305	3312	3362	0.983046	7
90	3334	3339	3356	0.993445	5
90	3310	3318	3348	0.98865	8
90	3323	3335	3345	0.993423	12
90	3310	3316	3336	0.992206	6
90	3348	3353	3384	0.989362	5
