Group	Count
ori	2542
ori	2522
ori	2620
ori	2559
ori	2484
ori	2391
ori	2234
ori	2482
ori	2338
ori	2395
50cut	2063
50cut	2026
50cut	2126
50cut	2083
50cut	2017
50cut	1897
50cut	1788
50cut	2003
50cut	1858
50cut	1936
50cut+99comp	737
50cut+99comp	765
50cut+99comp	803
50cut+99comp	806
50cut+99comp	792
50cut+99comp	726
50cut+99comp	668
50cut+99comp	745
50cut+99comp	706
50cut+99comp	699
50cut+99comp+2.0cont	757
50cut+99comp+2.0cont	789
50cut+99comp+2.0cont	823
50cut+99comp+2.0cont	824
50cut+99comp+2.0cont	820
50cut+99comp+2.0cont	738
50cut+99comp+2.0cont	709
50cut+99comp+2.0cont	775
50cut+99comp+2.0cont	722
50cut+99comp+2.0cont	718
