CG	core_shared	core_in_simulation	core_in_ori	core_shared/core_in_ori	core_in_simulation_not_shared
100	781	782	2669	0.292619	1
100	803	804	2640	0.304167	1
100	848	848	2734	0.310168	0
100	848	848	2685	0.315829	0
100	838	838	2588	0.323802	0
100	761	762	2502	0.304157	1
100	708	711	2327	0.304254	3
100	801	803	2624	0.305259	2
100	744	746	2452	0.303426	2
100	730	731	2489	0.29329	1
99	1895	1898	3117	0.607956	3
99	1844	1846	3016	0.611406	2
99	1925	1926	3056	0.629908	1
99	1864	1864	3061	0.608951	0
99	1848	1850	2913	0.634398	2
99	1787	1788	2942	0.60741	1
99	1696	1700	2890	0.586851	4
99	1795	1796	3040	0.590461	1
99	1747	1749	2833	0.616661	2
99	1777	1779	2955	0.601354	2
98	2663	2668	3182	0.836895	5
98	2619	2622	3120	0.839423	3
98	2694	2695	3159	0.852802	1
98	2604	2604	3133	0.831152	0
98	2574	2577	3086	0.834089	3
98	2543	2544	3079	0.825918	1
98	2481	2485	3059	0.811049	4
98	2603	2606	3146	0.8274	3
98	2455	2457	3067	0.800456	2
98	2508	2510	3099	0.809293	2
95	3238	3243	3270	0.990214	5
95	3225	3229	3283	0.982333	4
95	3230	3233	3291	0.981465	3
95	3206	3207	3253	0.985552	1
95	3154	3156	3214	0.981332	2
95	3156	3158	3225	0.978605	2
95	3149	3153	3217	0.978862	4
95	3197	3200	3246	0.984904	3
95	3173	3177	3238	0.979926	4
95	3187	3189	3255	0.979109	2
90	3357	3362	3380	0.993195	5
90	3341	3345	3356	0.99553	4
90	3350	3352	3370	0.994065	2
90	3316	3317	3343	0.991923	1
90	3327	3330	3371	0.986947	3
90	3350	3351	3366	0.995247	1
90	3329	3334	3358	0.991364	5
90	3336	3340	3355	0.994337	4
90	3336	3340	3358	0.993448	4
90	3359	3361	3392	0.990271	2
