Incomp	Group	genes
0	100	1729
0	99	2633
0	98	2954
0	95	3206
0	92	3276
0	90	3344
0	88	3438
0	85	3522
1	100	658
1	99	1620
1	98	2355
1	95	3126
1	92	3261
1	90	3311
1	88	3381
1	85	3501
2	100	221
2	99	845
2	98	1614
2	95	2962
2	92	3221
2	90	3300
2	88	3355
2	85	3472
3	100	78
3	99	381
3	98	915
3	95	2604
3	92	3151
3	90	3267
3	88	3326
3	85	3441
4	100	32
4	99	127
4	98	463
4	95	2109
4	92	3012
4	90	3219
4	88	3298
4	85	3407
5	100	24
5	99	101
5	98	279
5	95	1592
5	92	2780
5	90	3131
5	88	3260
5	85	3382
6	100	12
6	99	37
6	98	109
6	95	1103
6	92	2436
6	90	2925
6	88	3183
6	85	3342
8	100	3
8	99	14
8	98	31
8	95	392
8	92	1520
8	90	2366
8	88	2932
8	85	3262
10	100	4
10	99	8
10	98	15
10	95	135
10	92	776
10	90	1549
10	88	2287
10	85	3025
