Incomp	Group	genes
0	95	3312
0	90	3344
0	85	3362
0	80	3360
1	95	3278
1	90	3311
1	85	3329
1	80	3325
2	95	3265
2	90	3300
2	85	3318
2	80	3313
3	95	3235
3	90	3267
3	85	3290
3	80	3285
4	95	3187
4	90	3219
4	85	3235
4	80	3234
5	95	3099
5	90	3131
5	85	3151
5	80	3144
6	95	2892
6	90	2925
6	85	2944
6	80	2945
8	95	2332
8	90	2366
8	85	2380
8	80	2385
10	95	1521
10	90	1549
10	85	1557
10	80	1562
12	95	781
12	90	802
12	85	809
12	80	817
14	95	329
14	90	341
14	85	346
14	80	359
16	95	105
16	90	117
16	85	120
16	80	134
18	95	25
18	90	33
18	85	35
18	80	47
20	95	6
20	90	14
20	85	15
20	80	24
