Species	cont	cloud	cloud_num
S. enterica	0	Cloud genes	9952
S. enterica	0.5	Cloud genes	10105
S. enterica	1.0	Cloud genes	10242
S. enterica	1.5	Cloud genes	10372
S. enterica	2.0	Cloud genes	10541
S. enterica	2.5	Cloud genes	10781
S. enterica	3.0	Cloud genes	10934
S. enterica	3.5	Cloud genes	11166
S. enterica	4.0	Cloud genes	11332
B. pertussis	0	Cloud genes	1535
B. pertussis	0.5	Cloud genes	1701
B. pertussis	1.0	Cloud genes	1846
B. pertussis	1.5	Cloud genes	2030
B. pertussis	2.0	Cloud genes	2276
B. pertussis	2.5	Cloud genes	2480
B. pertussis	3.0	Cloud genes	2653
B. pertussis	3.5	Cloud genes	2875
B. pertussis	4.0	Cloud genes	3009
S. aureus	0	Cloud genes	2130
S. aureus	0.5	Cloud genes	2157
S. aureus	1.0	Cloud genes	2189
S. aureus	1.5	Cloud genes	2256
S. aureus	2.0	Cloud genes	2325
S. aureus	2.5	Cloud genes	2406
S. aureus	3.0	Cloud genes	2462
S. aureus	3.5	Cloud genes	2557
S. aureus	4.0	Cloud genes	2669
K. pneumoniae	0	Cloud genes	11188
K. pneumoniae	0.5	Cloud genes	11356
K. pneumoniae	1.0	Cloud genes	11570
K. pneumoniae	1.5	Cloud genes	11878
K. pneumoniae	2.0	Cloud genes	12023
K. pneumoniae	2.5	Cloud genes	12259
K. pneumoniae	3.0	Cloud genes	12532
K. pneumoniae	3.5	Cloud genes	12838
K. pneumoniae	4.0	Cloud genes	13077
P. aeruginosa	0	Cloud genes	12314
P. aeruginosa	0.5	Cloud genes	12434
P. aeruginosa	1.0	Cloud genes	12571
P. aeruginosa	1.5	Cloud genes	12710
P. aeruginosa	2.0	Cloud genes	12917
P. aeruginosa	2.5	Cloud genes	13066
P. aeruginosa	3.0	Cloud genes	13273
P. aeruginosa	3.5	Cloud genes	13459
P. aeruginosa	4.0	Cloud genes	13781
S. pyogenes	0	Cloud genes	1529
S. pyogenes	0.5	Cloud genes	1538
S. pyogenes	1.0	Cloud genes	1549
S. pyogenes	1.5	Cloud genes	1574
S. pyogenes	2.0	Cloud genes	1599
S. pyogenes	2.5	Cloud genes	1631
S. pyogenes	3.0	Cloud genes	1666
S. pyogenes	3.5	Cloud genes	1699
S. pyogenes	4.0	Cloud genes	1765
L. monocytogenes	0	Cloud genes	2188
L. monocytogenes	0.5	Cloud genes	2216
L. monocytogenes	1.0	Cloud genes	2237
L. monocytogenes	1.5	Cloud genes	2301
L. monocytogenes	2.0	Cloud genes	2366
L. monocytogenes	2.5	Cloud genes	2428
L. monocytogenes	3.0	Cloud genes	2472
L. monocytogenes	3.5	Cloud genes	2539
L. monocytogenes	4.0	Cloud genes	2615
M. tuberculosis	0	Cloud genes	2576
M. tuberculosis	0.5	Cloud genes	2771
M. tuberculosis	1.0	Cloud genes	2950
M. tuberculosis	1.5	Cloud genes	3113
M. tuberculosis	2.0	Cloud genes	3308
M. tuberculosis	2.5	Cloud genes	3501
M. tuberculosis	3.0	Cloud genes	3730
M. tuberculosis	3.5	Cloud genes	3889
M. tuberculosis	4.0	Cloud genes	4049
C. jejuni	0	Cloud genes	1712
C. jejuni	0.5	Cloud genes	1717
C. jejuni	1.0	Cloud genes	1725
C. jejuni	1.5	Cloud genes	1724
C. jejuni	2.0	Cloud genes	1751
C. jejuni	2.5	Cloud genes	1760
C. jejuni	3.0	Cloud genes	1760
C. jejuni	3.5	Cloud genes	1805
C. jejuni	4.0	Cloud genes	1824
H. pylori	0	Cloud genes	2288
H. pylori	0.5	Cloud genes	2302
H. pylori	1.0	Cloud genes	2300
H. pylori	1.5	Cloud genes	2308
H. pylori	2.0	Cloud genes	2324
H. pylori	2.5	Cloud genes	2317
