Species	cont	core	core_num
S. enterica	0	Core genes	742
S. enterica	0.5	Core genes	707
S. enterica	1.0	Core genes	648
S. enterica	1.5	Core genes	587
S. enterica	2.0	Core genes	533
S. enterica	2.5	Core genes	505
S. enterica	3.0	Core genes	450
S. enterica	3.5	Core genes	432
S. enterica	4.0	Core genes	391
B. pertussis	0	Core genes	757
B. pertussis	0.5	Core genes	694
B. pertussis	1.0	Core genes	637
B. pertussis	1.5	Core genes	563
B. pertussis	2.0	Core genes	489
B. pertussis	2.5	Core genes	458
B. pertussis	3.0	Core genes	402
B. pertussis	3.5	Core genes	381
B. pertussis	4.0	Core genes	365
S. aureus	0	Core genes	319
S. aureus	0.5	Core genes	308
S. aureus	1.0	Core genes	292
S. aureus	1.5	Core genes	281
S. aureus	2.0	Core genes	255
S. aureus	2.5	Core genes	249
S. aureus	3.0	Core genes	239
S. aureus	3.5	Core genes	225
S. aureus	4.0	Core genes	207
K. pneumoniae	0	Core genes	868
K. pneumoniae	0.5	Core genes	808
K. pneumoniae	1.0	Core genes	726
K. pneumoniae	1.5	Core genes	653
K. pneumoniae	2.0	Core genes	590
K. pneumoniae	2.5	Core genes	519
K. pneumoniae	3.0	Core genes	466
K. pneumoniae	3.5	Core genes	428
K. pneumoniae	4.0	Core genes	393
P. aeruginosa	0	Core genes	1031
P. aeruginosa	0.5	Core genes	1009
P. aeruginosa	1.0	Core genes	970
P. aeruginosa	1.5	Core genes	927
P. aeruginosa	2.0	Core genes	857
P. aeruginosa	2.5	Core genes	798
P. aeruginosa	3.0	Core genes	745
P. aeruginosa	3.5	Core genes	697
P. aeruginosa	4.0	Core genes	628
S. pyogenes	0	Core genes	153
S. pyogenes	0.5	Core genes	151
S. pyogenes	1.0	Core genes	148
S. pyogenes	1.5	Core genes	138
S. pyogenes	2.0	Core genes	139
S. pyogenes	2.5	Core genes	143
S. pyogenes	3.0	Core genes	137
S. pyogenes	3.5	Core genes	134
S. pyogenes	4.0	Core genes	126
L. monocytogenes	0	Core genes	383
L. monocytogenes	0.5	Core genes	374
L. monocytogenes	1.0	Core genes	364
L. monocytogenes	1.5	Core genes	349
L. monocytogenes	2.0	Core genes	326
L. monocytogenes	2.5	Core genes	321
L. monocytogenes	3.0	Core genes	318
L. monocytogenes	3.5	Core genes	299
