species	cont	group	gene_cat	gene_count
B. subtilis	0	genus	Cloud genes	4248
B. subtilis	0.5	genus	Cloud genes	5692
B. subtilis	1.0	genus	Cloud genes	7329
B. subtilis	1.5	genus	Cloud genes	9132
B. subtilis	2.0	genus	Cloud genes	10475
B. subtilis	2.5	genus	Cloud genes	11848
B. subtilis	3.0	genus	Cloud genes	13325
B. subtilis	3.5	genus	Cloud genes	14776
B. subtilis	4.0	genus	Cloud genes	16014
B. subtilis	0	species	Cloud genes	4248
B. subtilis	0.5	species	Cloud genes	4312
B. subtilis	1.0	species	Cloud genes	4412
B. subtilis	1.5	species	Cloud genes	4535
B. subtilis	2.0	species	Cloud genes	4680
B. subtilis	2.5	species	Cloud genes	4808
B. subtilis	3.0	species	Cloud genes	4935
B. subtilis	3.5	species	Cloud genes	5090
B. subtilis	4.0	species	Cloud genes	5260
S. pyogenes	0	genus	Cloud genes	1529
S. pyogenes	0.5	genus	Cloud genes	2018
S. pyogenes	1.0	genus	Cloud genes	2698
S. pyogenes	1.5	genus	Cloud genes	3151
S. pyogenes	2.0	genus	Cloud genes	3716
S. pyogenes	2.5	genus	Cloud genes	3957
S. pyogenes	3.0	genus	Cloud genes	4329
S. pyogenes	3.5	genus	Cloud genes	4661
S. pyogenes	4.0	genus	Cloud genes	5070
S. pyogenes	0	species	Cloud genes	1529
S. pyogenes	0.5	species	Cloud genes	1538
S. pyogenes	1.0	species	Cloud genes	1549
S. pyogenes	1.5	species	Cloud genes	1574
S. pyogenes	2.0	species	Cloud genes	1599
S. pyogenes	2.5	species	Cloud genes	1631
S. pyogenes	3.0	species	Cloud genes	1666
S. pyogenes	3.5	species	Cloud genes	1699
S. pyogenes	4.0	species	Cloud genes	1765
B. pseudomallei	0	genus	Cloud genes	8794
B. pseudomallei	0.5	genus	Cloud genes	11135
B. pseudomallei	1.0	genus	Cloud genes	13233
B. pseudomallei	1.5	genus	Cloud genes	15112
B. pseudomallei	2.0	genus	Cloud genes	16403
B. pseudomallei	2.5	genus	Cloud genes	18287
B. pseudomallei	3.0	genus	Cloud genes	19240
B. pseudomallei	3.5	genus	Cloud genes	20867
B. pseudomallei	4.0	genus	Cloud genes	22705
B. pseudomallei	0	species	Cloud genes	8794
B. pseudomallei	0.5	species	Cloud genes	9177
B. pseudomallei	1.0	species	Cloud genes	9492
B. pseudomallei	1.5	species	Cloud genes	9827
B. pseudomallei	2.0	species	Cloud genes	10061
B. pseudomallei	2.5	species	Cloud genes	10315
B. pseudomallei	3.0	species	Cloud genes	10471
B. pseudomallei	3.5	species	Cloud genes	10619
B. pseudomallei	4.0	species	Cloud genes	10776
K. pneumoniae	0	genus	Cloud genes	11188
K. pneumoniae	0.5	genus	Cloud genes	11863
K. pneumoniae	1.0	genus	Cloud genes	12535
K. pneumoniae	1.5	genus	Cloud genes	13013
K. pneumoniae	2.0	genus	Cloud genes	13547
K. pneumoniae	2.5	genus	Cloud genes	13983
K. pneumoniae	3.0	genus	Cloud genes	14337
K. pneumoniae	3.5	genus	Cloud genes	15182
K. pneumoniae	4.0	genus	Cloud genes	15528
K. pneumoniae	0	species	Cloud genes	11188
K. pneumoniae	0.5	species	Cloud genes	11356
K. pneumoniae	1.0	species	Cloud genes	11570
K. pneumoniae	1.5	species	Cloud genes	11878
K. pneumoniae	2.0	species	Cloud genes	12023
K. pneumoniae	2.5	species	Cloud genes	12259
K. pneumoniae	3.0	species	Cloud genes	12532
K. pneumoniae	3.5	species	Cloud genes	12838
K. pneumoniae	4.0	species	Cloud genes	13077
