species	cont	group	gene_cat	gene_count
B. subtilis	0	genus	Core genes	648
B. subtilis	0.5	genus	Core genes	646
B. subtilis	1.0	genus	Core genes	649
B. subtilis	1.5	genus	Core genes	651
B. subtilis	2.0	genus	Core genes	651
B. subtilis	2.5	genus	Core genes	646
B. subtilis	3.0	genus	Core genes	648
B. subtilis	3.5	genus	Core genes	648
B. subtilis	4.0	genus	Core genes	647
B. subtilis	0	species	Core genes	648
B. subtilis	0.5	species	Core genes	623
B. subtilis	1.0	species	Core genes	587
B. subtilis	1.5	species	Core genes	543
B. subtilis	2.0	species	Core genes	508
B. subtilis	2.5	species	Core genes	489
B. subtilis	3.0	species	Core genes	460
B. subtilis	3.5	species	Core genes	442
B. subtilis	4.0	species	Core genes	415
S. pyogenes	0	genus	Core genes	153
S. pyogenes	0.5	genus	Core genes	153
S. pyogenes	1.0	genus	Core genes	154
S. pyogenes	1.5	genus	Core genes	153
S. pyogenes	2.0	genus	Core genes	153
S. pyogenes	2.5	genus	Core genes	153
S. pyogenes	3.0	genus	Core genes	154
S. pyogenes	3.5	genus	Core genes	154
S. pyogenes	4.0	genus	Core genes	154
S. pyogenes	0	species	Core genes	153
S. pyogenes	0.5	species	Core genes	151
S. pyogenes	1.0	species	Core genes	148
S. pyogenes	1.5	species	Core genes	138
S. pyogenes	2.0	species	Core genes	139
S. pyogenes	2.5	species	Core genes	143
S. pyogenes	3.0	species	Core genes	137
S. pyogenes	3.5	species	Core genes	134
S. pyogenes	4.0	species	Core genes	126
B. pseudomallei	0	genus	Core genes	1405
B. pseudomallei	0.5	genus	Core genes	1398
B. pseudomallei	1.0	genus	Core genes	1392
B. pseudomallei	1.5	genus	Core genes	1387
B. pseudomallei	2.0	genus	Core genes	1379
B. pseudomallei	2.5	genus	Core genes	1359
B. pseudomallei	3.0	genus	Core genes	1343
B. pseudomallei	3.5	genus	Core genes	1357
B. pseudomallei	4.0	genus	Core genes	1358
B. pseudomallei	0	species	Core genes	1405
B. pseudomallei	0.5	species	Core genes	1280
B. pseudomallei	1.0	species	Core genes	1152
B. pseudomallei	1.5	species	Core genes	1105
B. pseudomallei	2.0	species	Core genes	1045
B. pseudomallei	2.5	species	Core genes	978
B. pseudomallei	3.0	species	Core genes	971
B. pseudomallei	3.5	species	Core genes	951
B. pseudomallei	4.0	species	Core genes	908
K. pneumoniae	0	genus	Core genes	868
K. pneumoniae	0.5	genus	Core genes	853
K. pneumoniae	1.0	genus	Core genes	821
K. pneumoniae	1.5	genus	Core genes	808
K. pneumoniae	2.0	genus	Core genes	768
K. pneumoniae	2.5	genus	Core genes	765
K. pneumoniae	3.0	genus	Core genes	710
K. pneumoniae	3.5	genus	Core genes	709
K. pneumoniae	4.0	genus	Core genes	639
K. pneumoniae	0	species	Core genes	868
K. pneumoniae	0.5	species	Core genes	808
K. pneumoniae	1.0	species	Core genes	726
K. pneumoniae	1.5	species	Core genes	653
K. pneumoniae	2.0	species	Core genes	590
K. pneumoniae	2.5	species	Core genes	519
K. pneumoniae	3.0	species	Core genes	466
K. pneumoniae	3.5	species	Core genes	428
K. pneumoniae	4.0	species	Core genes	393
